algoritmo,num_onus,carga_embb,rep,loss_embb,loss_urllc,loss_mmtc,lat_avg_embb,lat_avg_urllc,lat_avg_mmtc,lat_p99_urllc,throughput_total,jitter_urllc
QosDBA,16,200,4,0.7691310776363531,0.0,0.0,,,,,20.857816074074076,
QosDBA,16,200,4,0.7692874647577681,0.0,0.0,,,,,20.856865703703704,
QosDBA,16,25,4,0.0,0.0,0.0,,,,,12.586513277777778,
QosDBA,16,25,4,0.0,0.0,0.0,,,,,12.566464851851853,
QosDBA,16,25,4,0.0,0.0,0.0,,,,,12.548991759259259,
QosDBA,16,25,4,0.0,0.0,0.0,,,,,12.550433574074075,
QosDBA,16,25,4,0.0,0.0,0.0,,,,,12.5392075,
IPACT,32,25,3,0.0,0.0,0.0,,,,,12.576382296296297,
IPACT,32,25,3,0.0,0.0,0.0,,,,,12.570820657407408,
IPACT,32,50,3,0.0007226500396871255,0.7560000098385418,0.0,,,,,21.03827425,
IPACT,32,50,3,0.000524034469564825,0.7591118446818471,0.0,,,,,21.042553268518517,
IPACT,32,50,3,0.0005593934792633156,0.7573064564600497,0.0,,,,,21.03916510185185,
IPACT,32,50,3,0.0005978359015564501,0.7538879745937381,0.0,,,,,21.044109675925924,
IPACT,32,50,3,0.0004806134603028437,0.7400893446561643,0.0,,,,,21.041806435185183,
IPACT,32,50,3,0.0006101534792350624,0.7512304002124428,0.0,,,,,21.03851013888889,
IPACT,32,50,3,0.001129428409971629,0.7594795726544237,0.0,,,,,21.042187842592593,
IPACT,32,50,3,0.0008667009822162532,0.7517450125783369,0.0,,,,,21.042551657407408,
IPACT,32,50,3,0.000891030525781772,0.7490323607982531,0.0,,,,,21.040009268518517,
IPACT,32,50,3,0.000777277504911378,0.7466231272690715,0.0,,,,,21.043001546296296,
IPACT,32,25,3,0.0,0.0,0.0,,,,,12.527757629629631,
IPACT,32,100,3,0.4903163055086409,0.8682831521599756,0.0,,,,,21.04060764814815,
IPACT,32,100,3,0.49065119774302596,0.8682746341421663,0.0,,,,,21.04482124074074,
IPACT,32,100,3,0.49057628725185154,0.8682012623593512,0.0,,,,,21.04427685185185,
IPACT,32,100,3,0.4901698660132763,0.8683950765757212,0.0,,,,,21.04380874074074,
IPACT,32,100,3,0.4898674882901535,0.8682695435824228,0.0,,,,,21.043741296296293,
IPACT,32,100,3,0.49025308041008153,0.8683038089785133,0.0,,,,,21.04360375,
IPACT,32,100,3,0.490911733618855,0.8681206983760109,0.0,,,,,21.039888666666666,
IPACT,32,100,3,0.4901731619804113,0.8682803753178497,0.0,,,,,21.045157157407406,
IPACT,32,100,3,0.4893924675823303,0.8680215824762806,0.0,,,,,21.043752018518518,
IPACT,32,100,3,0.49085196668747966,0.8679709435873647,0.0,,,,,21.042800425925925,
IPACT,32,25,3,0.0,0.0,0.0,,,,,12.584044287037038,
IPACT,32,150,3,0.6600346378575738,0.8693099090159497,0.0,,,,,21.047560379629626,
IPACT,32,150,3,0.6602699570710687,0.8694029156269878,0.0,,,,,21.042599222222226,
IPACT,32,150,3,0.6602474381428428,0.8692713932019516,0.0,,,,,21.042826324074074,
IPACT,32,150,3,0.6597319641353188,0.869286954972241,0.0,,,,,21.046551611111113,
IPACT,32,150,3,0.6597564707087862,0.8691585529757284,0.0,,,,,21.045670027777778,
IPACT,32,150,3,0.6599082086085508,0.8694843869104537,0.0,,,,,21.044128453703706,
IPACT,32,150,3,0.6601652878960228,0.8691571777540362,0.0,,,,,21.044311064814817,
IPACT,32,150,3,0.6597519436939697,0.8691405887753028,0.0,,,,,21.042644092592592,
IPACT,32,150,3,0.6597163478768537,0.8694635563814231,0.0,,,,,21.043825175925924,
IPACT,32,150,3,0.6599429350054488,0.8689518812080552,0.0,,,,,21.04316789814815,
IPACT,32,25,3,0.0,0.0,0.0,,,,,12.552503138888888,
IPACT,32,200,3,0.7448076403736837,0.8698479654630303,0.0,,,,,21.043361314814817,
IPACT,32,200,3,0.7451392342555847,0.8697268221729721,0.0,,,,,21.042331472222223,
IPACT,32,200,3,0.7450329259382953,0.8695493700161288,0.0,,,,,21.043504833333333,
IPACT,32,200,3,0.7447778554192716,0.8696909793165419,0.0,,,,,21.044550907407405,
IPACT,32,200,3,0.7447438696676132,0.8700012253539282,0.0,,,,,21.043167555555556,
IPACT,32,200,3,0.7449241582366,0.8699113624690702,0.0,,,,,21.043519111111113,
IPACT,32,200,3,0.7449911089616816,0.8695352085882453,0.0,,,,,21.046173037037036,
IPACT,32,200,3,0.7449446304830368,0.8697736597094768,0.0,,,,,21.044217916666668,
IPACT,32,200,3,0.7448248853244825,0.8697415489454374,0.0,,,,,21.04519861111111,
IPACT,32,200,3,0.7449233513439332,0.8694343877109375,0.0,,,,,21.04382723148148,
IPACT,32,25,3,0.0,0.0,0.0,,,,,12.547334814814814,
IPACT,32,25,3,0.0,0.0,0.0,,,,,12.542392555555557,
IPACT,32,25,3,0.0,0.0,0.0,,,,,12.541766324074075,
IPACT,32,25,3,0.0,0.0,0.0,,,,,12.56118312037037,
IPACT,32,25,3,0.0,0.0,0.0,,,,,12.55771012962963,
QosDBA,32,25,1,0.0,0.0,0.0,,,,,12.576383703703703,
QosDBA,32,25,1,0.0,0.0,0.0,,,,,12.570808712962963,
QosDBA,32,50,1,0.08022862147783993,0.0,0.0,,,,,20.85126549074074,
QosDBA,32,50,1,0.08160641675478553,0.0,0.0,,,,,20.852033824074073,
QosDBA,32,50,1,0.0807656760594643,0.0,0.0,,,,,20.850751842592594,
QosDBA,32,50,1,0.08048864588008825,0.0,0.0,,,,,20.856083981481483,
QosDBA,32,50,1,0.07901750986704796,0.0,0.0,,,,,20.85370488888889,
QosDBA,32,50,1,0.08006390426531884,0.0,0.0,,,,,20.853207574074073,
QosDBA,32,50,1,0.08217989814328697,0.0,0.0,,,,,20.853115083333332,
